#YYYY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2000,1,8,16,215,9.8,11.1,99.0,99.0,99.0,999,1012.4,2.3,0.7,-4.6,99.0,
2000,1,8,17,215,9.1,10.8,99.0,99.0,99.0,999,1012.1,3.1,1.1,-4.6,99.0,
2000,1,8,18,214,9.3,11.1,99.0,99.0,99.0,999,1010.8,3.8,1.4,-3.7,99.0,
2000,1,8,19,218,7.9,9.2,99.0,99.0,99.0,999,1010.5,4.3,1.5,-3.6,99.0,
2000,1,8,20,220,6.7,7.5,99.0,99.0,99.0,999,1010.4,4.6,2.0,-3.0,99.0,
2000,1,8,21,236,9.6,11.4,99.0,99.0,99.0,999,1009.7,4.7,1.7,-3.1,99.0,
2000,1,8,22,228,6.2,7.1,99.0,99.0,99.0,999,1010.0,4.5,1.9,-2.5,99.0,
2000,1,8,23,225,5.8,6.9,99.0,99.0,99.0,999,1010.0,3.4,1.7,-1.9,99.0,
2000,1,9,0,225,5.1,5.5,99.0,99.0,99.0,999,1010.0,2.8,1.6,-1.3,99.0,
2000,1,9,1,232,6.4,7.5,99.0,99.0,99.0,999,1010.1,2.8,1.2,-0.7,99.0,
2000,1,9,2,236,6.0,7.2,99.0,99.0,99.0,999,1009.8,2.8,1.2,-0.3,99.0,
2000,1,9,3,244,7.2,8.8,99.0,99.0,99.0,999,1009.7,2.4,1.4,0.1,99.0,
2000,1,9,4,253,5.6,6.8,99.0,99.0,99.0,999,1010.1,1.9,1.4,0.1,99.0,
2000,1,9,5,251,4.2,5.3,99.0,99.0,99.0,999,1010.5,1.4,1.3,0.6,99.0,
2000,1,9,6,225,2.9,3.3,99.0,99.0,99.0,999,1010.6,1.2,1.9,0.9,99.0,
2000,1,9,7,222,4.2,4.7,99.0,99.0,99.0,999,1010.8,0.5,0.8,0.3,99.0,
2000,1,9,8,250,5.8,6.6,99.0,99.0,99.0,999,1011.2,-0.3,1.1,-0.3,99.0,
2000,1,9,9,251,3.4,4.1,99.0,99.0,99.0,999,1010.9,-0.2,1.3,-0.3,99.0,
2000,1,9,10,246,1.4,1.9,99.0,99.0,99.0,999,1010.5,-0.5,1.1,-0.5,99.0,
2000,1,9,11,272,0.7,1.0,99.0,99.0,99.0,999,1010.5,-0.9,1.2,-0.9,99.0,
2000,1,9,12,191,3.0,3.5,99.0,99.0,99.0,999,1010.6,-1.0,0.9,-1.0,99.0,
2000,1,9,13,221,0.1,0.2,99.0,99.0,99.0,999,1010.5,-0.5,0.9,-0.5,99.0,
2000,1,9,14,248,1.1,1.4,99.0,99.0,99.0,999,1010.5,-0.2,0.8,-0.2,99.0,
2000,1,9,15,360,0.3,0.5,99.0,99.0,99.0,999,1010.5,0.1,0.9,0.1,99.0,
2000,1,9,16,13,1.2,1.3,99.0,99.0,99.0,999,1010.2,-0.1,1.0,-0.2,99.0,
2000,1,9,17,3,1.3,1.4,99.0,99.0,99.0,999,1010.1,0.4,1.0,0.4,99.0,
2000,1,9,18,0,0.0,0.1,99.0,99.0,99.0,999,1009.2,1.2,1.2,1.2,99.0,
2000,1,9,19,51,0.7,1.0,99.0,99.0,99.0,999,1007.9,1.3,1.2,1.1,99.0,
2000,1,9,20,16,2.1,2.2,99.0,99.0,99.0,999,1007.0,1.6,1.2,1.6,99.0,
2000,1,9,21,31,1.9,2.0,99.0,99.0,99.0,999,1006.4,2.0,1.2,1.9,99.0,
2000,1,9,22,66,1.0,1.4,99.0,99.0,99.0,999,1006.5,2.5,1.2,2.5,99.0,
2000,1,9,23,152,5.3,5.6,99.0,99.0,99.0,999,1005.9,3.2,1.0,3.2,99.0,
2000,1,10,0,135,6.5,7.1,99.0,99.0,99.0,999,1004.9,3.2,0.8,3.2,99.0,
2000,1,10,1,149,6.3,7.2,99.0,99.0,99.0,999,1004.5,3.2,1.0,3.1,99.0,
2000,1,10,2,159,7.7,8.5,99.0,99.0,99.0,999,1003.6,3.4,1.3,3.4,99.0,
2000,1,10,3,158,8.2,9.1,99.0,99.0,99.0,999,1002.6,3.5,1.4,3.5,99.0,
2000,1,10,4,159,8.1,8.8,99.0,99.0,99.0,999,1001.6,3.6,1.5,3.5,99.0,
2000,1,10,5,159,8.9,9.9,99.0,99.0,99.0,999,1000.3,3.7,999.0,3.7,99.0,
2000,1,10,6,160,8.8,9.7,99.0,99.0,99.0,999,998.7,3.8,999.0,3.8,99.0,
2000,1,10,7,156,8.1,9.3,99.0,99.0,99.0,999,997.1,3.7,999.0,3.7,99.0,
2000,1,10,8,142,9.5,10.6,99.0,99.0,99.0,999,995.2,3.8,999.0,3.8,99.0,
2000,1,10,9,152,8.7,9.6,99.0,99.0,99.0,999,993.6,3.9,999.0,3.9,99.0,
2000,1,10,10,156,7.4,8.0,99.0,99.0,99.0,999,992.0,4.0,999.0,4.0,99.0,
2000,1,10,11,148,9.2,10.5,99.0,99.0,99.0,999,990.0,4.0,999.0,4.0,99.0,
2000,1,10,12,168,6.3,7.1,99.0,99.0,99.0,999,989.2,3.8,999.0,3.8,99.0,
2000,1,10,13,182,7.3,8.7,99.0,99.0,99.0,999,988.2,3.5,999.0,3.5,99.0,
2000,1,10,14,203,5.1,6.1,99.0,99.0,99.0,999,987.7,3.9,999.0,3.9,99.0,
2000,1,10,15,203,5.0,5.7,99.0,99.0,99.0,999,987.5,3.7,999.0,3.6,99.0,
2000,1,10,16,230,6.3,7.8,99.0,99.0,99.0,999,987.4,3.9,999.0,3.8,99.0,
2000,1,10,17,244,9.3,11.7,99.0,99.0,99.0,999,987.5,3.9,999.0,3.8,99.0,
2000,1,10,18,256,7.9,9.5,99.0,99.0,99.0,999,987.5,3.7,999.0,3.5,99.0,
2000,1,10,19,253,10.0,13.7,99.0,99.0,99.0,999,987.7,3.9,999.0,3.6,99.0,
2000,1,10,20,999,99.0,99.0,99.0,99.0,99.0,999,9999.0,999.0,999.0,999.0,99.0,
2000,1,10,21,261,9.5,13.0,99.0,99.0,99.0,999,990.3,2.8,999.0,2.1,99.0,
